insurer_key,product_key,variant_key,coverage_name_raw,coverage_name_normalized,coverage_code_step2,coverage_code_step4,mapping_method,step2b_has_code,drop_reason,classification,note,auto_bucket,auto_reason,candidate_codes,priority,top_candidate_code,top_candidate_name,top_candidate_score,resolution_type,target_cre_cvr_cd,resolution_notes
lotte,lotte__무배당let:smile종합건강보험더끌림포맨2506무해지형납입면,default,허혈성심장질환진단비,허혈성심장질환진단비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:심장, ALIAS_KEYWORD:진단비, ALIAS_KEYWORD:허혈성, STRONG_MATCH:score=1.2",A4105:허혈성심장질환진단비:1.2 | A5107_1:허혈성심장질환수술비:0.42 | A4105:허혈성심장질환진단비:1.0 | A4105:허혈성심장질환진단비:1.0 | A4105:허혈성심장질환진단비:1.0,P0,A4105,허혈성심장질환진단비,1.2,ALIAS_EXISTING,A4105,Auto-confirmed high confidence match (score >= 0.7)
lotte,lotte__무배당let:smile종합건강보험더끌림포맨2506무해지형납입면,default,급성심근경색증(I21) 혈전용해치료비,급성심근경색증(I21) 혈전용해치료비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:심근경색, ALIAS_KEYWORD:치료비, STRONG_MATCH:score=1.2",A9640_1:급성심근경색증 혈전용해치료비:1.2 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.7 | A9640_1:혈전용해치료비:0.7,P0,A9640_1,급성심근경색증 혈전용해치료비,1.2,ALIAS_EXISTING,A9640_1,Auto-confirmed high confidence match (score >= 0.7)
meritz,meritz__무알파Plus보장보험2511보험료납입면제형,default,일반상해사망,일반상해사망,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:상해, ALIAS_KEYWORD:사망, STRONG_MATCH:score=1.2",A1300:일반상해사망[기본계약]:1.2 | A1300:상해사망:0.84 | A3300_1:일반상해후유장해(3~100%):0.4 | A6300_1:일반상해입원일당(1일이상):0.4 | A1300:일반상해사망:1.0,P0,A1300,일반상해사망[기본계약],1.2,ALIAS_EXISTING,A1300,Auto-confirmed high confidence match (score >= 0.7)
samsung,samsung__삼성화재건강보험,default,"골절 진단비(치아파절(깨짐, 부러짐) 제외)","골절 진단비(치아파절(깨짐, 부러짐) 제외)",,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:골절, ALIAS_KEYWORD:치아, ALIAS_KEYWORD:진단비, STRONG_MATCH:score=0.84",A4301_1:골절진단비(치아파절제외):0.84 | A4301_1:골절진단비(치아파절제외):0.84 | A4301_1:골절진단비(치아파절제외):0.7 | A4301_1:골절진단비(치아파절제외):0.7 | A4301_1:골절(치아파절제외)진단비:0.7,P0,A4301_1,골절진단비(치아파절제외),0.84,ALIAS_EXISTING,A4301_1,Auto-confirmed high confidence match (score >= 0.7)
db,db__무배당프로미라이프,default,2. 보험료납입면제대상보장(10대사유),보험료납입면제대상보장(10대사유),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료"
db,db__무배당프로미라이프,default,2. 보험료납입면제대상보장(11대사유),보험료납입면제대상보장(11대사유),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료"
hanwha,hanwha__한화더건강한한아름종합보험,default,보험료납입면제대상보장(8대사유),보험료납입면제대상보장(8대사유),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료"
heungkuk,heungkuk__무배당흥Good행복한파워종합보험,default,보험료 납입면제대상보장(6대질병진단 및 상해·질병후유장해(80%이상)),보험료 납입면제대상보장(6대질병진단 및 상해·질병후유장해(80%이상)),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료"
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,3. 보험료납입면제대상담보,보험료납입면제대상담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:담보, INTENTIONAL_KEYWORD:보험료",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:담보, INTENTIONAL_KEYWORD:보험료"
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,10. 유사암진단Ⅱ담보,유사암진단Ⅱ담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A4210,유사암진단Ⅱ(양성뇌종양포함)담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,"17. 심혈관질환(특정Ⅰ,I49제외)진단담보","심혈관질환(특정Ⅰ,I49제외)진단담보",,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A4104_1,심혈관질환(특정Ⅱ)진단담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,18. 심혈관질환(I49)진단담보,심혈관질환(I49)진단담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A4104_1,심혈관질환(특정Ⅱ)진단담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,19. 심혈관질환(주요심장염증)진단담보,심혈관질환(주요심장염증)진단담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A4104_1,심혈관질환(특정Ⅱ)진단담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,21. 심혈관질환(특정2대)진단담보,심혈관질환(특정2대)진단담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A4104_1,심혈관질환(특정Ⅱ)진단담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,22. 심혈관질환(대동맥판막협착증)진단담보,심혈관질환(대동맥판막협착증)진단담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A4104_1,심혈관질환(특정Ⅱ)진단담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,23. 심혈관질환(심근병증)진단담보,심혈관질환(심근병증)진단담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A4104_1,심혈관질환(특정Ⅱ)진단담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,24. 항암약물치료Ⅱ담보,항암약물치료Ⅱ담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A9617_1,항암약물치료비,0.429,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,28. 질병입원일당(1-180일)담보,질병입원일당(1-180일)담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A6100_1,"질병입원일당(1-180일,종합병원)담보",1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,37. 혈전용해치료비Ⅱ(최초1회한)(특정심장질환)담보,혈전용해치료비Ⅱ(최초1회한)(특정심장질환)담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A9640_1,혈전용해치료비Ⅱ(최초1회한)(뇌졸중)담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
hyundai,hyundai__무배당현대해상퍼펙트플러스종합보험세만기형Hi25083종해약환급금미지급형,default,"로봇암수술(다빈치및레보아이
)(갑상선암및전립선암)(최초
1회한)(갱신형)담보",로봇암수술(다빈치및레보아이)(갑상선암및전립선암)(최초1회한)(갱신형)담보,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:담보,,P0,A9630_1,로봇암수술(다빈치및레보아이)(갑상선암및전립선암제외)(최초1회한)(갱신형)담보,1.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:담보
kb,kb__KB닥터플러스건강보험세만기해약환급금미지급형무배,default,3. 보험료납입면제대상보장(8대기본),보험료납입면제대상보장(8대기본),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:보장, INTENTIONAL_KEYWORD:보험료"
meritz,meritz__무알파Plus보장보험2511보험료납입면제형,default,일반상해80%이상후유장해[기본계약],일반상해80%이상후유장해[기본계약],,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:계, INTENTIONAL_KEYWORD:기본계약",,P0,A1300,일반상해사망[기본계약],0.4,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:계, INTENTIONAL_KEYWORD:기본계약"
meritz,meritz__무알파Plus보장보험2511보험료납입면제형,default,자동갱신특약,자동갱신특약,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:자동갱신특약, AUTO_RENEWAL_NOTICE",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:자동갱신특약, AUTO_RENEWAL_NOTICE"
meritz,meritz__무알파Plus보장보험2511보험료납입면제형,default,보험료 비교(예시),보험료 비교(예시),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:예시, INTENTIONAL_KEYWORD:보험료, PREMIUM_COMPARISON",,P0,,,0.0,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:예시, INTENTIONAL_KEYWORD:보험료, PREMIUM_COMPARISON"
meritz,meritz__무알파Plus보장보험2511보험료납입면제형,default,"대표계약 기준 : 남자40세,20년납,100세만기,월납,일반상해80%이상후유장해[기본계약] 5,000만원, 일반상해사망 5,000만원, 질병사망 5,000만원","대표계약 기준 : 남자40세,20년납,100세만기,월납,일반상해80%이상후유장해[기본계약] 5,000만원, 일반상해사망 5,000만원, 질병사망 5,000만원",,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,"INTENTIONAL_KEYWORD:계, INTENTIONAL_KEYWORD:기본계약, INTENTIONAL_KEYWORD:남자, INTENTIONAL_KEYWORD:년납, INTENTIONAL_KEYWORD:월납",,P0,A1100,질병사망,0.84,INTENTIONAL_UNMAPPED,,"INTENTIONAL_KEYWORD:계, INTENTIONAL_KEYWORD:기본계약, INTENTIONAL_KEYWORD:남자, INTENTIONAL_KEYWORD:년납, INTENTIONAL_KEYWORD:월납"
samsung,samsung__삼성화재건강보험,default,보험료 납입면제대상Ⅱ,보험료 납입면제대상Ⅱ,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,INTENTIONAL_KEYWORD:보험료,,P0,,,0.0,INTENTIONAL_UNMAPPED,,INTENTIONAL_KEYWORD:보험료
samsung,samsung__삼성화재건강보험,default,수술,수술,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_INTENTIONAL,TOO_SHORT,,P0,A5100,질병수술비,0.96,INTENTIONAL_UNMAPPED,,TOO_SHORT
kb,kb__KB닥터플러스건강보험세만기해약환급금미지급형무배,default,2. 일반상해후유장해(20~100%)(기본),일반상해후유장해(20~100%)(기본),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:장해, ALIAS_KEYWORD:상해, ALIAS_KEYWORD:후유장해, MEDIUM_MATCH:score=1.0",A3300_1:일반상해후유장해(3~100%):1.0 | A3300_1:일반상해후유장해(3~100%):1.0 | A3300_1:[기본계약]일반상해후유장해(3~100%):1.0 | A3300_1:상해후유장해(3-100%):0.7 | A3300_1:상해후유장해(3-100%):0.7,P1,A3300_1,일반상해후유장해(3~100%),1.0,ALIAS_EXISTING,A3300_1,Confirmed match
kb,kb__KB닥터플러스건강보험세만기해약환급금미지급형무배,default,105. 부정맥질환(Ⅰ49)진단비,부정맥질환(Ⅰ49)진단비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:진단비, MEDIUM_MATCH:score=1.0",A4104_1:부정맥질환(I49)진단비:1.0,P1,A4104_1,부정맥질환(I49)진단비,1.0,ALIAS_EXISTING,A4104_1,Confirmed match (I49 variant)
kb,kb__KB닥터플러스건강보험세만기해약환급금미지급형무배,default,206. 다빈치로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한)(갱신형),다빈치로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한)(갱신형),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:전립선암, ALIAS_KEYWORD:암, ALIAS_KEYWORD:갑상선암, ALIAS_KEYWORD:수술비, MEDIUM_MATCH:score=1.0",A9630_1:다빈치로봇암수술비:1.0 | A9630_1:다빈치로봇암수술비:1.0 | A9630_1:다빈치로봇암수술비:1.0 | A9630_1:다빈치로봇암수술비:1.0 | A9630_1:다빈치로봇암수술비(갑상선암및전립선암제외)(최초1회한)(갱신형):1.0,P1,A9630_1,다빈치로봇암수술비,1.0,ALIAS_EXISTING,A9630_1,Confirmed match
